execution_id,case_id,condition,agent,round,output_mentions,output_facts,empty,peer_weaken_targets,peer_strengthen_targets,peer_equivalent_targets,self_weaken_targets,self_strengthen_targets,peer_related_targets,peer_weaken_without_peer_equivalence_targets,conservative_target_facts
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,B,1,50,50,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,B,2,35,33,0,1,20,8,2,11,24,1,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,B,3,34,34,0,10,14,6,9,6,24,8,7
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,C,1,49,43,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,C,2,38,36,0,4,9,3,2,7,13,3,3
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,C,3,47,44,0,7,21,8,3,19,22,3,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,A,1,31,30,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,A,2,55,53,0,2,3,2,5,1,7,2,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,A,3,57,53,0,9,16,23,10,16,34,6,5
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,B,1,8,7,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,B,2,42,41,0,3,2,5,6,0,6,0,3
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,B,3,43,43,0,6,15,12,3,10,26,4,3
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,C,1,2,2,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,C,2,65,60,0,7,8,6,1,0,20,6,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,C,3,48,44,0,10,19,8,6,16,27,7,4
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,A,1,41,41,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,A,2,40,40,0,1,2,0,0,6,3,1,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,A,3,82,82,0,23,21,9,11,8,41,20,17
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,B,1,31,31,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,B,2,67,67,0,1,6,1,1,7,8,1,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,B,3,40,38,0,9,19,6,7,7,27,7,4
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,C,1,8,8,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,C,2,73,73,0,10,2,4,0,0,13,9,9
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,C,3,64,63,0,7,14,7,5,23,20,5,5
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,A,1,38,36,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,A,2,28,28,0,3,12,10,6,3,19,2,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,A,3,40,40,0,15,24,14,5,11,34,10,10
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,1,61,57,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,2,43,43,0,13,10,8,3,12,26,12,6
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,3,42,42,0,9,21,16,6,19,31,3,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,1,46,44,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,2,39,39,0,16,7,8,5,4,23,14,11
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,3,42,42,0,22,15,18,9,16,35,13,10
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,A,1,43,43,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,A,2,42,41,0,12,10,11,6,3,27,6,4
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,A,3,50,49,0,16,21,30,9,13,43,6,5
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,1,35,35,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,2,52,51,0,6,15,14,5,8,31,3,3
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,3,34,33,0,8,22,14,7,10,32,4,5
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,1,42,42,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,2,33,33,0,2,7,6,3,8,11,1,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,3,40,39,0,10,24,19,8,13,34,5,6
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,A,1,30,30,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,A,2,59,58,0,3,4,7,2,0,14,3,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,A,3,41,41,0,8,15,13,7,5,27,5,4
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,B,1,29,29,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,B,2,44,39,0,2,2,5,5,2,6,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,B,3,42,42,0,18,3,13,10,2,27,11,11
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,C,1,22,22,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,C,2,52,52,0,1,1,8,0,0,9,1,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,C,3,40,40,0,11,8,7,7,6,21,8,9
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,A,1,33,33,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,A,2,31,30,0,0,1,1,1,2,2,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,A,3,51,51,0,12,19,14,9,7,36,9,8
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,B,1,20,20,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,B,2,37,37,0,1,4,2,6,5,5,0,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,B,3,52,51,0,13,15,13,4,6,31,7,8
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,C,1,20,20,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,C,2,54,53,0,4,9,5,0,1,18,4,3
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,C,3,63,63,0,13,12,15,8,12,31,6,6
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,A,1,28,26,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,A,2,27,26,0,5,7,6,2,3,13,2,1
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,A,3,25,25,0,5,15,8,3,7,20,2,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,B,1,29,27,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,B,2,26,25,0,7,4,4,5,4,11,5,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,B,3,40,40,0,11,12,11,9,7,23,6,6
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,C,1,40,39,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,C,2,32,32,0,8,7,4,4,4,17,6,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,C,3,40,38,0,16,7,11,10,5,24,12,9
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,A,1,30,30,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,A,2,26,25,0,6,8,7,1,2,16,2,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,A,3,31,31,0,12,13,7,6,8,21,8,7
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,B,1,20,20,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,B,2,24,24,0,5,10,3,5,4,12,3,3
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,B,3,34,32,0,13,14,16,9,4,26,5,3
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,C,1,35,34,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,C,2,29,28,0,4,7,5,1,7,14,3,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,C,3,23,22,0,1,9,7,3,8,14,0,1
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,A,1,26,25,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,A,2,35,34,0,2,4,3,2,4,7,2,1
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,A,3,31,30,0,7,11,6,8,6,18,5,4
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,B,1,22,22,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,B,2,14,14,0,3,0,1,0,0,3,2,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,B,3,35,34,0,9,4,6,4,4,16,7,6
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,C,1,20,20,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,C,2,23,23,0,2,4,4,0,0,8,1,1
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,C,3,27,27,0,5,10,5,4,4,15,3,4
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,A,1,27,23,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,A,2,32,30,0,4,6,2,9,7,9,2,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,A,3,44,41,0,13,7,7,4,4,21,10,8
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,B,1,25,24,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,B,2,39,37,0,0,4,1,5,3,4,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,B,3,33,31,0,8,8,9,10,10,20,7,5
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,C,1,0,0,1,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,C,2,31,30,0,6,7,4,0,0,14,5,5
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,C,3,23,22,0,5,3,4,12,2,11,5,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,A,1,25,24,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,A,2,29,24,0,3,6,5,6,2,8,1,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,A,3,30,30,0,7,21,6,5,7,24,2,1
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,B,1,23,20,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,B,2,29,25,0,13,0,8,3,3,18,10,8
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,B,3,20,19,0,7,7,7,1,7,13,3,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,C,1,8,7,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,C,2,30,28,0,6,7,8,1,1,17,4,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,C,3,20,18,0,4,12,15,3,6,20,2,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,A,1,30,29,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,A,2,40,35,0,4,13,3,5,8,17,3,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,A,3,45,40,0,22,11,18,21,12,36,12,10
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,B,1,29,28,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,B,2,28,27,0,5,10,3,0,7,15,4,3
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,B,3,30,27,0,22,5,16,16,3,26,10,7
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,C,1,18,17,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,C,2,28,26,0,5,6,8,3,1,15,3,3
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,C,3,39,36,0,18,19,13,10,14,35,14,11
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,A,1,21,21,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,A,2,18,17,0,4,1,4,3,6,5,1,3
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,A,3,24,24,0,9,5,12,0,7,19,6,6
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,B,1,21,21,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,B,2,26,22,0,0,8,1,0,5,9,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,B,3,32,29,0,5,16,9,7,8,24,5,5
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,C,1,2,2,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,C,2,43,40,0,1,11,6,0,0,16,1,1
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,C,3,45,43,0,15,19,12,10,9,31,8,8
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,A,1,33,33,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,A,2,25,25,0,3,4,4,3,9,5,0,1
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,A,3,27,26,0,4,4,7,9,15,11,2,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,B,1,32,30,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,B,2,29,27,0,2,6,1,4,13,8,2,1
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,B,3,37,36,0,10,7,4,18,17,16,9,6
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,C,1,21,21,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,C,2,25,25,0,5,8,3,0,0,12,3,4
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,C,3,48,46,0,13,19,8,5,12,29,10,4
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,A,1,35,35,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,A,2,37,37,0,10,8,5,4,9,17,7,7
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,A,3,37,37,0,11,8,12,7,5,24,6,7
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,B,1,32,32,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,B,2,34,34,0,14,8,6,10,2,23,10,9
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,B,3,35,35,0,6,15,10,1,8,21,1,1
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,C,1,33,33,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,C,2,37,36,0,11,9,8,3,5,21,8,6
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,C,3,41,41,0,23,14,10,13,13,32,16,16
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,A,1,44,44,0,0,0,0,0,0,0,0,0
