execution_id,case_id,condition,source_topic,target_topic,kind,n
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,X,weaken,15
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,B,strengthen,10
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,G,weaken,3
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,B,weaken,9
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,C,weaken,18
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,X,weaken,4
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,B,weaken,9
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,B,weaken,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,X,strengthen,18
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,X,strengthen,9
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,G,C,weaken,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,G,G,weaken,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,X,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,X,strengthen,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,G,X,strengthen,5
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,G,weaken,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,C,weaken,8
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,B,C,strengthen,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,G,C,strengthen,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,C,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,G,B,strengthen,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,G,X,weaken,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,C,strengthen,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,X,G,strengthen,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,C,G,strengthen,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,B,equivalent,12
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,B,weaken,10
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,C,equivalent,20
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,C,strengthen,22
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,X,equivalent,18
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,X,strengthen,29
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,G,G,equivalent,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,C,weaken,9
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,G,weaken,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,B,strengthen,11
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,G,strengthen,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,U,X,weaken,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,B,strengthen,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,X,strengthen,7
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,X,weaken,19
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,G,strengthen,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,G,C,strengthen,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,B,weaken,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,G,X,strengthen,7
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,X,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,U,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,C,X,weaken,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,C,weaken,6
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,U,X,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,G,G,weaken,4
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,C,strengthen,7
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,C,equivalent,5
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,X,strengthen,5
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,B,weaken,3
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,G,strengthen,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,X,G,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,B,X,equivalent,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,C,C,equivalent,17
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,C,C,weaken,23
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,X,X,weaken,10
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,X,X,equivalent,7
